Invoice Number,Order Date,Delivery Date,Shipping Type,Client Code,Client Name,Client Segment,Country,Location,Region Code,Zip Code,Product Code,Product Category,Product Description,Sale Amount,Quantity,DiscountRate,Profit Margin,Payment Method,Warranty (Years),Customer Satisfaction,Product Return Status,Sales Channel,Customer Loyalty Program,Marketing Campaign Code
INV-000051,2025-02-17,2025-02-21,In-Store Pickup,CL-5113,Laura Martinez,E-commerce,Germany,Hamburg,TX,37880,PD-4347,Garden Tools,Decorative Lamp,2352.75,8,0.31,272.32,Bitcoin,3,5,No Return,Wholesale,Silver,MC-9961
INV-000003,2024-03-18,2024-03-22,Drone Delivery,CL-7812,Karen Wright,Retail Partner,Netherlands,The Hague,SF,59695,PD-1036,Automotive Parts,Yoga Mat,1980.72,4,0.21,241.58,Bank Transfer,5,1,No Return,Online,Bronze,MC-7833
INV-000060,2025-04-21,2025-04-25,Drone Delivery,CL-7191,David Harris,Retail Partner,France,Lyon,TX,60393,PD-3631,Garden Tools,Yoga Mat,2128.29,8,0.32,396.16,Credit Card,3,1,No Return,Wholesale,Platinum,MC-6632
INV-000099,2026-01-19,2026-01-23,Drone Delivery,CL-6610,Jennifer Lee,E-commerce,Netherlands,The Hague,FL,53416,PD-3838,Wearable Tech,Decorative Lamp,1679.73,7,0.3,301.29,Credit Card,1,3,Returned,Wholesale,Gold,MC-2990
INV-000039,2024-11-25,2024-11-29,In-Store Pickup,CL-3070,David Harris,E-commerce,Italy,Naples,MI,78138,PD-1499,Automotive Parts,Car Battery,686.63,3,0.32,123.65,Bitcoin,5,4,No Return,Wholesale,Bronze,MC-8523
INV-000043,2024-12-23,2024-12-27,Freight,CL-4809,Karen Wright,E-commerce,France,Lyon,TX,43417,PD-4821,Garden Tools,Car Battery,2401.23,1,0.29,368.17,Credit Card,2,1,Returned,Online,Silver,MC-8207
INV-000091,2025-11-24,2025-11-28,In-Store Pickup,CL-9882,Laura Martinez,E-commerce,Spain,Madrid,SF,41638,PD-4354,Garden Tools,Decorative Lamp,1293.99,3,0.06,235.59,Bank Transfer,2,5,No Return,Online,Gold,MC-1016
INV-000006,2024-04-08,2024-04-12,Drone Delivery,CL-8482,Laura Martinez,E-commerce,Netherlands,Rotterdam,NV,58836,PD-2022,Automotive Parts,Yoga Mat,286.71,11,0.34,102.01,PayPal,5,1,No Return,In-Store,Silver,MC-5782
INV-000008,2024-04-22,2024-04-26,Drone Delivery,CL-6379,James Parker,E-commerce,Netherlands,Rotterdam,SF,31469,PD-2454,Home Decor,Yoga Mat,1181.3,2,0.29,81.74,Bank Transfer,3,5,Returned,In-Store,None,MC-8927
INV-000050,2025-02-10,2025-02-14,Drone Delivery,CL-4090,David Harris,E-commerce,Germany,Hamburg,TX,37344,PD-2014,Wearable Tech,Smart Ring,422.76,8,0.22,164.16,Credit Card,3,2,Returned,Online,Gold,MC-3592
INV-000047,2025-01-20,2025-01-24,In-Store Pickup,CL-6092,Jennifer Lee,Retail Partner,France,Paris,TX,68773,PD-4392,Wearable Tech,Decorative Lamp,192.08,3,0.19,177.95,Cash,1,1,No Return,Wholesale,Bronze,MC-2667
INV-000018,2024-07-01,2024-07-05,Drone Delivery,CL-9630,David Harris,Retail Partner,Netherlands,Amsterdam,TX,70695,PD-3571,Fitness Gear,Yoga Mat,1632.73,2,0.1,60.3,Bank Transfer,3,1,No Return,Online,Platinum,MC-8873
INV-000063,2025-05-12,2025-05-16,In-Store Pickup,CL-4488,David Harris,E-commerce,Germany,Hamburg,FL,73487,PD-1962,Automotive Parts,Yoga Mat,898.97,1,0.25,192.65,Bank Transfer,1,4,Returned,In-Store,Platinum,MC-2111
INV-000047,2025-01-20,2025-01-24,In-Store Pickup,CL-6092,Jennifer Lee,Retail Partner,France,Paris,TX,68773,PD-4392,Wearable Tech,Decorative Lamp,192.08,3,0.19,177.95,Cash,1,1,No Return,Wholesale,Bronze,MC-9021
INV-000025,2024-08-19,2024-08-23,In-Store Pickup,CL-8402,David Harris,E-commerce,France,Marseille,SF,62686,PD-2761,Fitness Gear,Yoga Mat,2056.27,2,0.24,144.55,Cash,1,3,Returned,Online,None,MC-2873
INV-000082,2025-09-22,2025-09-26,Freight,CL-8896,Jennifer Lee,Retail Partner,France,Marseille,TX,69639,PD-4125,Automotive Parts,Cordless Drill,150.44,10,0.18,335.73,Credit Card,2,1,Returned,In-Store,Bronze,MC-9438
INV-000052,2025-02-24,2025-02-28,In-Store Pickup,CL-9225,Laura Martinez,E-commerce,Italy,Milan,TX,31982,PD-2721,Fitness Gear,Cordless Drill,217.44,8,0.2,257.44,Credit Card,3,4,No Return,In-Store,Bronze,MC-7436
INV-000099,2026-01-19,2026-01-23,Drone Delivery,CL-6610,Jennifer Lee,E-commerce,Netherlands,The Hague,FL,53416,PD-3838,Wearable Tech,Decorative Lamp,1679.73,7,0.3,301.29,Credit Card,1,3,Returned,Wholesale,Gold,MC-3060
INV-000092,2025-12-01,2025-12-05,Drone Delivery,CL-6359,James Parker,E-commerce,Germany,Berlin,MI,73690,PD-1260,Automotive Parts,Cordless Drill,478.0,2,0.17,147.09,Cash,5,2,Returned,In-Store,Silver,MC-3443
INV-000099,2026-01-19,2026-01-23,Drone Delivery,CL-6610,Jennifer Lee,E-commerce,Netherlands,The Hague,FL,53416,PD-3838,Wearable Tech,Decorative Lamp,1679.73,7,0.3,301.29,Credit Card,1,3,Returned,Wholesale,Gold,MC-1785
INV-000071,2025-07-07,2025-07-11,Freight,CL-3158,James Parker,E-commerce,Germany,Munich,TX,64018,PD-3186,Fitness Gear,Smart Ring,2020.11,11,0.34,273.63,Bank Transfer,2,5,No Return,Online,Silver,MC-3202
INV-000098,2026-01-12,2026-01-16,Drone Delivery,CL-6013,Jennifer Lee,E-commerce,France,Paris,TX,62922,PD-4062,Fitness Gear,Decorative Lamp,729.65,10,0.14,222.51,PayPal,1,4,No Return,Wholesale,Gold,MC-7430
INV-000078,2025-08-25,2025-08-29,Drone Delivery,CL-6822,Karen Wright,E-commerce,Germany,Hamburg,TX,38483,PD-3877,Garden Tools,Car Battery,2027.87,7,0.1,350.62,Bank Transfer,5,2,Returned,Online,Silver,MC-1531
INV-000004,2024-03-25,2024-03-29,Freight,CL-9549,Laura Martinez,E-commerce,Netherlands,Amsterdam,SF,51700,PD-3034,Wearable Tech,Decorative Lamp,1623.92,9,0.18,19.08,Credit Card,2,5,No Return,In-Store,Gold,MC-3334
INV-000001,2024-03-04,2024-03-08,Freight,CL-9940,David Harris,E-commerce,Spain,Madrid,NV,50176,PD-2296,Home Decor,Cordless Drill,924.88,10,0.16,390.52,Cash,1,5,No Return,Online,Gold,MC-8277
INV-000087,2025-10-27,2025-10-31,In-Store Pickup,CL-7520,Laura Martinez,Retail Partner,Germany,Berlin,FL,57385,PD-2215,Garden Tools,Decorative Lamp,1952.32,1,0.21,101.81,Bitcoin,3,1,No Return,Online,Gold,MC-8324
INV-000038,2024-11-18,2024-11-22,Drone Delivery,CL-4403,David Harris,Retail Partner,Germany,Hamburg,TX,60277,PD-1486,Automotive Parts,Smart Ring,792.62,10,0.13,244.73,Bank Transfer,2,5,Returned,In-Store,None,MC-8539
INV-000017,2024-06-24,2024-06-28,Freight,CL-4178,Laura Martinez,Retail Partner,Netherlands,Rotterdam,TX,72475,PD-1328,Automotive Parts,Decorative Lamp,591.03,6,0.26,104.13,Bitcoin,2,5,No Return,In-Store,Gold,MC-8273
INV-000051,2025-02-17,2025-02-21,In-Store Pickup,CL-5113,Laura Martinez,E-commerce,Germany,Hamburg,TX,37880,PD-4347,Garden Tools,Decorative Lamp,2352.75,8,0.31,272.32,Bitcoin,3,5,No Return,Wholesale,Silver,MC-2187
INV-000079,2025-09-01,2025-09-05,Freight,CL-6936,Jennifer Lee,E-commerce,Germany,Munich,FL,61568,PD-2331,Garden Tools,Decorative Lamp,1741.32,3,0.15,317.77,Cash,2,5,Returned,Online,Silver,MC-1470
INV-000079,2025-09-01,2025-09-05,Freight,CL-6936,Jennifer Lee,E-commerce,Germany,Munich,FL,61568,PD-2331,Garden Tools,Decorative Lamp,1741.32,3,0.15,317.77,Cash,2,5,Returned,Online,Silver,MC-7121
INV-000057,2025-03-31,2025-04-04,Freight,CL-2013,Karen Wright,Retail Partner,Italy,Milan,TX,65896,PD-1207,Wearable Tech,Cordless Drill,2004.99,11,0.27,186.53,Bitcoin,5,5,Returned,Online,Gold,MC-9752
INV-000010,2024-05-06,2024-05-10,Freight,CL-7818,Laura Martinez,E-commerce,France,Paris,TX,40718,PD-3972,Automotive Parts,Decorative Lamp,1559.62,9,0.1,157.01,Cash,1,4,Returned,Wholesale,Bronze,MC-5403
INV-000031,2024-09-30,2024-10-04,Drone Delivery,CL-4303,Jennifer Lee,Retail Partner,Netherlands,Rotterdam,FL,66295,PD-3610,Garden Tools,Yoga Mat,2455.02,5,0.19,27.87,Credit Card,5,2,No Return,Online,Gold,MC-9715
INV-000061,2025-04-28,2025-05-02,In-Store Pickup,CL-6333,Jennifer Lee,E-commerce,Spain,Barcelona,TX,78024,PD-1024,Automotive Parts,Cordless Drill,1988.92,6,0.16,40.5,Bank Transfer,3,1,Returned,Online,None,MC-9168
INV-000034,2024-10-21,2024-10-25,In-Store Pickup,CL-7400,Jennifer Lee,E-commerce,Spain,Barcelona,SF,54959,PD-4702,Wearable Tech,Yoga Mat,1417.95,8,0.11,108.35,Bitcoin,1,1,Returned,Online,None,MC-4592
INV-000076,2025-08-11,2025-08-15,Freight,CL-4653,Laura Martinez,E-commerce,Spain,Barcelona,NV,37465,PD-4070,Fitness Gear,Decorative Lamp,451.05,1,0.12,310.26,Credit Card,3,2,Returned,Wholesale,Silver,MC-2937
INV-000084,2025-10-06,2025-10-10,Drone Delivery,CL-4359,Laura Martinez,Retail Partner,Germany,Hamburg,TX,41906,PD-4988,Automotive Parts,Decorative Lamp,1901.46,1,0.13,162.93,Bitcoin,2,4,No Return,In-Store,None,MC-1827
INV-000087,2025-10-27,2025-10-31,In-Store Pickup,CL-7520,Laura Martinez,Retail Partner,Germany,Berlin,FL,57385,PD-2215,Garden Tools,Decorative Lamp,1952.32,1,0.21,101.81,Bitcoin,3,1,No Return,Online,Gold,MC-3258
INV-000031,2024-09-30,2024-10-04,Drone Delivery,CL-4303,Jennifer Lee,Retail Partner,Netherlands,Rotterdam,FL,66295,PD-3610,Garden Tools,Yoga Mat,2455.02,5,0.19,27.87,Credit Card,5,2,No Return,Online,Gold,MC-6561
